model,split,strength_group,k,sample_count,recall
itemcf:click3_recent20,validation,Tail,10,16296,0.01012518409425626
itemcf:click3_recent20,validation,Tail,50,16296,0.02779823269513991
itemcf:click3_recent20,validation,Tail,100,16296,0.04068483063328424
itemcf:click3_recent20,validation,Tail,500,16296,0.08057191948944527
itemcf:click3_recent20,validation,Unseen,10,171307,0.0
itemcf:click3_recent20,validation,Unseen,50,171307,0.0
itemcf:click3_recent20,validation,Unseen,100,171307,0.0
itemcf:click3_recent20,validation,Unseen,500,171307,0.0
itemcf:click3_recent20,test,Overall,10,370673,0.006593412522627761
itemcf:click3_recent20,test,Overall,50,370673,0.022691159053937027
itemcf:click3_recent20,test,Overall,100,370673,0.034955337993325654
itemcf:click3_recent20,test,Overall,500,370673,0.0756812608417662
itemcf:click3_recent20,test,Head,10,98305,0.021351914958547377
itemcf:click3_recent20,test,Head,50,98305,0.07587609989318957
itemcf:click3_recent20,test,Head,100,98305,0.11746096332841666
itemcf:click3_recent20,test,Head,500,98305,0.256914704236814
itemcf:click3_recent20,test,Mid,10,17783,0.015126806500590452
itemcf:click3_recent20,test,Mid,50,17783,0.043749648540741155
itemcf:click3_recent20,test,Mid,100,17783,0.06646797503233424
itemcf:click3_recent20,test,Mid,500,17783,0.13400438621155036
itemcf:click3_recent20,test,Tail,10,7087,0.010723860589812333
itemcf:click3_recent20,test,Tail,50,7087,0.02455199661351771
itemcf:click3_recent20,test,Tail,100,7087,0.032171581769437
itemcf:click3_recent20,test,Tail,500,7087,0.058416819528714546
itemcf:click3_recent20,test,Unseen,10,247498,0.0
itemcf:click3_recent20,test,Unseen,50,247498,0.0
itemcf:click3_recent20,test,Unseen,100,247498,0.0
itemcf:click3_recent20,test,Unseen,500,247498,0.0
two_tower,validation,Overall,10,456206,0.0028934297225376255
two_tower,validation,Overall,50,456206,0.009973564573898634
two_tower,validation,Overall,100,456206,0.016536389262745338
two_tower,validation,Overall,500,456206,0.047796390227221916
two_tower,validation,Head,10,225289,0.005819192237526022
two_tower,validation,Head,50,225289,0.020111945101625023
two_tower,validation,Head,100,225289,0.03337047081748332
two_tower,validation,Head,500,225289,0.09645388811704078
two_tower,validation,Mid,10,43314,0.0001846977882439858
two_tower,validation,Mid,50,43314,0.000415570023548968
two_tower,validation,Mid,100,43314,0.0005771805882624555
two_tower,validation,Mid,500,43314,0.0015930184236043774
two_tower,validation,Tail,10,16296,6.136475208640157e-05
two_tower,validation,Tail,50,16296,6.136475208640157e-05
two_tower,validation,Tail,100,16296,6.136475208640157e-05
two_tower,validation,Tail,500,16296,0.0003681885125184094
two_tower,validation,Unseen,10,171307,0.0
two_tower,validation,Unseen,50,171307,0.0
two_tower,validation,Unseen,100,171307,0.0
two_tower,validation,Unseen,500,171307,0.0
two_tower,test,Overall,10,370673,0.001068327069951143
two_tower,test,Overall,50,370673,0.003860545548232539
two_tower,test,Overall,100,370673,0.006577225748840622
two_tower,test,Overall,500,370673,0.020942987484926068
two_tower,test,Head,10,98305,0.0039774172219113986
two_tower,test,Head,50,98305,0.014475357306342505
two_tower,test,Head,100,98305,0.024668124713900615
two_tower,test,Head,500,98305,0.07875489547835818
two_tower,test,Mid,10,17783,0.00022493392565933756
two_tower,test,Mid,50,17783,0.00039363436990384076
two_tower,test,Mid,100,17783,0.0006748017769780127
two_tower,test,Mid,500,17783,0.001124669628296688
two_tower,test,Tail,10,7087,0.00014110342881332017
two_tower,test,Tail,50,7087,0.00014110342881332017
two_tower,test,Tail,100,7087,0.00014110342881332017
two_tower,test,Tail,500,7087,0.00014110342881332017
two_tower,test,Unseen,10,247498,0.0
two_tower,test,Unseen,50,247498,0.0
two_tower,test,Unseen,100,247498,0.0
two_tower,test,Unseen,500,247498,0.0
